label_a,label_b,count
kind/support,needs-triage,1062
kind/bug,needs-triage,980
kind/feature,needs-triage,793
lifecycle/rotten,needs-triage,711
needs-sig,needs-triage,700
needs-triage,sig/node,542
kind/support,needs-sig,542
kind/feature,lifecycle/rotten,385
kind/documentation,priority/backlog,342
kind/bug,kind/support,341
kind/bug,triage/accepted,325
kind/bug,needs-sig,325
kind/feature,sig/node,316
kind/bug,sig/node,270
lifecycle/rotten,sig/node,258
kind/bug,lifecycle/rotten,249
kind/support,sig/node,238
needs-triage,sig/scheduling,236
kind/feature,triage/accepted,227
kind/documentation,lifecycle/rotten,216
sig/api-machinery,triage/accepted,210
kind/support,lifecycle/rotten,210
kind/documentation,sig/api-machinery,208
needs-triage,sig/network,201
sig/node,triage/accepted,190
kind/documentation,priority/important-soon,189
kind/bug,sig/api-machinery,177
needs-triage,sig/api-machinery,174
kind/feature,sig/scheduling,169
kind/bug,sig/network,159
kind/feature,sig/api-machinery,159
lifecycle/rotten,sig/api-machinery,157
kind/support,sig/network,154
needs-triage,sig/apps,141
needs-triage,sig/storage,140
kind/documentation,sig/docs,130
kind/support,sig/api-machinery,110
kind/support,triage/needs-information,108
kind/documentation,sig/node,106
needs-triage,sig/auth,101
needs-triage,triage/needs-information,100
lifecycle/rotten,sig/storage,98
kind/bug,sig/storage,97
sig/network,triage/accepted,97
lifecycle/rotten,needs-sig,97
kind/support,sig/cluster-lifecycle,97
needs-triage,sig/cli,94
kind/bug,kind/documentation,92
kind/documentation,needs-triage,88
lifecycle/rotten,sig/scheduling,87
